#"Step","Potential Energy (kJ/mole)","Temperature (K)"
1000,-34143.45531741624,292.2921895062647
2000,-34245.23656741624,298.2866072036842
3000,-34576.68969241624,297.7882215174944
4000,-34485.71312991624,301.40897686740607
5000,-34207.16625491624,299.8444919989667
6000,-34415.50219241624,296.5476936850359
7000,-34482.83031741624,302.2486812147953
8000,-34324.54125491624,295.31463655857675
9000,-34462.65062991624,299.74293827464425
10000,-34434.26000491624,302.04555081071425
11000,-34283.12719241624,306.1558813441157
12000,-34203.99437991624,299.46759207920263
13000,-34286.89281741624,306.19847100370527
14000,-34039.20531741624,303.228866160096
15000,-34086.98656741624,309.6634232690858
16000,-34029.39281741624,296.41097063208395
17000,-34081.22094241624,304.02923684735464
18000,-34563.28344241624,307.63361185681373
19000,-34215.43187991624,297.4334539332405
20000,-33853.49437991624,304.0033868683354
21000,-34278.48656741624,293.0347940127393
22000,-34429.46312991624,293.3909154936728
23000,-34620.51781741624,292.87660852586924
24000,-34349.76781741624,287.192424812986
25000,-34453.43187991624,295.33342656728945
26000,-34350.32250491624,293.62419243349336
27000,-34222.28344241624,293.3104218890624
28000,-34552.37719241624,301.41060209621685
29000,-34443.39281741624,303.09739841915393
30000,-34437.25219241624,300.9565640171505
31000,-34356.06469241624,295.56232492865263
32000,-34443.56469241624,296.90577861371276
33000,-34561.98656741624,303.80973149640676
34000,-34540.45531741624,295.07320637087224
35000,-34611.90062991624,302.66834783867205
36000,-34406.66625491624,299.231278632507
37000,-34538.15062991624,299.22079306032407
38000,-34520.97875491624,298.2351718498789
39000,-34254.75219241624,293.01248742521165
40000,-34306.40062991624,294.42219506575617
41000,-34537.78344241624,296.98816722736325
42000,-34299.75219241624,305.83999248167964
43000,-34316.86156741624,300.09344146575125
44000,-34287.04125491624,301.2211784760986
45000,-34416.55687991624,286.0387643293772
46000,-34628.31469241624,298.37405653254615
47000,-34433.82250491624,305.5274368580828
48000,-34377.47094241624,293.64415928347125
49000,-34370.96312991624,301.4861823736834
50000,-34329.48656741624,288.0453485571017
51000,-34442.15844241624,295.7554139162576
52000,-34322.56469241624,309.649267914606
53000,-34325.06469241624,284.89513893782595
54000,-34333.72094241624,293.78554626330504
55000,-34266.26781741624,306.07129553954564
56000,-34159.16625491624,304.10916411116716
57000,-34312.50219241624,310.1565171579982
58000,-34485.08031741624,308.7393019117295
59000,-34335.31469241624,304.961182440237
60000,-34438.65062991624,304.72836077391594
61000,-34022.62719241624,304.85778006239576
62000,-34649.31469241624,305.16357924271443
63000,-34391.82250491624,295.6262954826598
64000,-34476.75219241624,302.98456725492025
65000,-34547.70531741624,306.2113318058643
66000,-34541.36156741624,297.7713402213955
67000,-34535.15844241624,297.19582370542344
68000,-34141.48656741624,300.9657237860378
69000,-34495.48656741624,297.12428202751255
70000,-34244.83812991624,295.4765573625984
71000,-34518.94750491624,292.4538659725076
72000,-34254.22094241624,300.9210138853711
73000,-34501.84594241624,294.61745392700186
74000,-34592.97875491624,290.43798233321945
75000,-34253.97875491624,287.3948897343919
76000,-34492.93187991624,290.39818514905994
77000,-34520.47875491624,297.338156602817
78000,-34370.92406741624,297.8952344624576
79000,-34392.90844241624,302.94428883213214
80000,-34565.72094241624,303.4106284466147
81000,-34279.53344241624,298.3926710903676
82000,-34319.06469241624,295.906318309488
83000,-34393.70531741624,291.88775879859975
84000,-34069.82250491624,288.9281884726958
85000,-34238.04906741624,294.9827985982326
86000,-34325.02562991624,301.89850170045224
87000,-34316.47094241624,304.5861560057679
88000,-34262.76781741624,299.51678083209765
89000,-34361.72094241624,299.7697217873341
90000,-34691.51781741624,301.49307835424474
91000,-34199.18969241624,298.3880457000543
92000,-34487.27562991624,302.5730356551429
93000,-34246.54906741624,301.0696559789129
94000,-34451.65844241624,294.21799619490184
95000,-34539.36156741624,287.1033815171946
96000,-34643.95531741624,301.44636991930594
97000,-34394.37719241624,281.5100377736302
98000,-34388.28344241624,300.1067031458596
99000,-34211.65062991624,304.5709209769589
100000,-34439.14281741624,298.72565628982017
