#"Step","Potential Energy (kJ/mole)","Temperature (K)"
1000,-34151.65062991624,295.96200353684395
2000,-34258.97094241624,292.88212138782046
3000,-34370.79906741624,322.4386263306992
4000,-34423.06469241624,294.296193493026
5000,-34405.53344241624,308.3322416936826
6000,-34445.33031741624,297.06318350390063
7000,-34588.01781741624,302.4571510633659
8000,-34282.18969241624,300.33241403046884
9000,-34251.65844241624,281.53059709158117
10000,-34429.27562991624,302.3998549879533
11000,-34382.60375491624,295.0404598424697
12000,-34495.41625491624,290.5968454385583
13000,-34588.01781741624,296.9187475346582
14000,-34532.35375491624,290.5330298409281
15000,-34273.84594241624,298.120339971407
16000,-34286.06469241624,287.85509884866246
17000,-34210.33031741624,302.06490752774704
18000,-34408.50219241624,309.22158775963993
19000,-34530.25219241624,304.58581018931955
20000,-34463.43969241624,308.37248259989644
21000,-34437.00219241624,303.9360790631561
22000,-33950.08031741624,292.6582462695473
23000,-34561.36937991624,299.26682962513786
24000,-34499.23656741624,283.3621159487273
25000,-34621.81469241624,296.70675784088115
26000,-34621.09594241624,307.27923147846616
27000,-34402.95531741624,297.55154601037367
28000,-34484.32250491624,290.9986536690614
29000,-34552.00219241624,296.0115594564308
30000,-34470.59594241624,287.77829065247573
31000,-34439.62719241624,312.5122306200855
32000,-34528.00219241624,298.85900005995785
33000,-34404.80687991624,292.88239323225787
34000,-34268.58031741624,297.46345166373806
35000,-34330.17406741624,296.7922468648558
36000,-34166.53344241624,295.50810686173577
37000,-34360.64281741624,304.09021326918895
38000,-34429.01781741624,295.0688379637148
39000,-34442.60375491624,295.35025711553897
40000,-34469.03344241624,304.656923923334
41000,-34611.72094241624,306.9876234582546
42000,-34187.29906741624,296.79916167678454
43000,-34197.18969241624,302.64205954719966
44000,-34557.89281741624,302.915578215334
45000,-34580.96312991624,294.92179637078806
46000,-34374.33031741624,296.13898833559415
47000,-34501.78344241624,288.50701220331285
48000,-34421.48656741624,299.4537507091121
49000,-34122.25219241624,300.22182098381387
50000,-34327.11156741624,299.9811326677383
51000,-34544.90844241624,297.40766381084325
52000,-34391.96312991624,289.57443403395223
53000,-34409.22094241624,298.61923872213936
54000,-34488.79906741624,303.23416035548956
55000,-34427.04906741624,306.96782681569897
56000,-34237.54125491624,291.73396927308255
57000,-34410.28344241624,286.9174250646896
58000,-34513.03344241624,287.2587386341165
59000,-34113.08812991624,306.56076858550045
60000,-34430.75219241624,297.4229319570914
61000,-34447.29125491624,300.25856960112276
62000,-34300.76781741624,290.8665252853998
63000,-34289.87719241624,292.14030509255036
64000,-34498.71312991624,283.5190665814008
65000,-34268.98656741624,307.4638362624939
66000,-34368.06469241624,308.9745425484402
67000,-34384.18969241624,288.3668284580501
68000,-34273.42406741624,301.16209831194135
69000,-34640.09594241624,298.1904976877315
70000,-34342.70531741624,284.049174453613
71000,-34072.81469241624,302.59297963738703
72000,-34194.30687991624,285.57544583104755
73000,-34164.95531741624,305.73300491390927
74000,-34376.06469241624,297.7120292633639
75000,-34310.11937991624,300.0977019812006
76000,-34448.60375491624,301.4759462188517
77000,-34562.15062991624,306.20780195674456
78000,-34664.47094241624,295.74591041610796
79000,-34368.16625491624,292.17613649983264
80000,-34503.20531741624,305.5700131637269
81000,-34539.23656741624,300.4579921025859
82000,-34497.05687991624,289.5773769640779
83000,-34688.91625491624,288.64152427058673
84000,-34590.12719241624,297.0508594940494
85000,-34374.44750491624,292.10294583637597
86000,-34218.60375491624,306.43395236273903
87000,-34551.29906741624,294.8690504079365
88000,-34491.16625491624,294.38474680497643
89000,-34242.93187991624,292.77976123094595
90000,-34359.37719241624,295.2734053613686
91000,-34170.09594241624,302.6206751613582
92000,-34364.79906741624,300.4340598899474
93000,-34478.08812991624,292.96072337330247
94000,-34488.72094241624,295.2741246203978
95000,-34406.53344241624,303.9389275428642
96000,-34488.25219241624,288.12985581178145
97000,-34481.17406741624,290.5148427834408
98000,-34460.98656741624,304.86760679931615
99000,-34491.92406741624,296.5508903908542
100000,-34068.54906741624,296.44766138077165
